,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
0,3.0,14.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
1,3.0,16.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
2,3.0,17.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
3,3.0,18.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
4,3.0,19.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
5,3.0,20.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,656,B,37392.0
6,3.0,21.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
7,3.0,22.0,2010-04-09,68.0,2.77,,,,,,no sales today,7.343,False,B,37392.0
8,3.0,23.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
9,3.0,24.0,2010-04-09,68.0,2.77,,,,,,213.9120595,7.343,False,B,37392.0
