MarkDown1,MarkDown4,Type,IsHoliday,MarkDown2,Temperature,Dept,MarkDown5,Date,MarkDown3,Store,CPI,Unemployment,Size,Fuel_Price
,,B,False,,36.94,7,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,8,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,9,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,10,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,11,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,12,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,13,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,14,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,16,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,17,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,18,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,19,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,20,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,21,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,22,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,23,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,24,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,25,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,26,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,27,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,28,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,29,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,30,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,31,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,32,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,33,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,34,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,35,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,36,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,38,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,40,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,41,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,42,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,44,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,45,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,46,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,48,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,49,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,51,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,52,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,54,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,55,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,56,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,58,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,59,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,60,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,67,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,71,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,72,,2010-04-02,,17,126.6034839,6.635,93188,2.842
,,B,False,,36.94,74,,2010-04-02,,17,126.6034839,6.635,93188,2.842
