MarkDown5,Dept,CPI,Size,MarkDown1,MarkDown3,IsHoliday,Temperature,Unemployment,Type,Store,MarkDown4,MarkDown2,Date,Fuel_Price
,42,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,44,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,45,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,46,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,51,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,52,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,54,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,55,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,56,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,59,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,67,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,71,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,72,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,74,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,79,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,80,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,81,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,82,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,85,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,87,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,90,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,91,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,92,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,94,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,95,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,96,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,97,189.774698,57197,,,False,70.67,6.868,B,16,,,2010-07-23,2.691
,1,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,2,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,3,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,4,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,5,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,6,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,7,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,8,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,9,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,10,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,11,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,12,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,13,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,14,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,16,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,17,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,19,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,20,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,21,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,22,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,23,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,24,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,25,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,26,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,27,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,28,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,29,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,30,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,31,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,32,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,33,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,34,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,35,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,36,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,38,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,40,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,41,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,42,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,44,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,45,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,46,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,51,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,52,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,54,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,55,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,56,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,59,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,67,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,71,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,72,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,74,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,79,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,80,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,81,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,82,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,85,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,87,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,90,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,91,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,92,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,94,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,95,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,96,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,97,189.9368504,57197,,,False,70.71,6.868,B,16,,,2010-07-30,2.69
,1,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,2,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,3,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,4,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,5,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,6,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,7,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,8,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,9,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,10,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,11,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,12,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,13,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,14,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,16,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,17,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,19,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,20,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,21,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,22,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,23,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,24,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,25,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,26,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,27,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,28,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,29,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,30,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,31,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,32,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,33,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,34,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,35,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,36,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,38,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,40,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,41,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,42,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,44,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,46,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,51,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,52,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,54,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,55,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,56,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,58,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,59,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,67,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,71,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,72,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,74,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,79,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,80,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
,81,190.0990028,57197,,,False,67.42,6.868,B,16,,,2010-08-06,2.69
