Dept,MarkDown5,MarkDown1,Fuel_Price,MarkDown4,MarkDown3,Store,CPI,Temperature,IsHoliday,Size,Type,Unemployment,MarkDown2,Date
16,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
17,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
18,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
19,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
20,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
21,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
22,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
23,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
24,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
25,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
26,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
27,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
28,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
29,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
30,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
31,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
32,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
33,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
34,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
35,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
36,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
37,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
38,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
40,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
41,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
42,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
44,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
46,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
48,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
49,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
50,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
52,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
54,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
55,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
56,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
58,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
59,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
60,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
67,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
71,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
72,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
74,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
79,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
