MarkDown4,Temperature,MarkDown2,Store,Dept,Unemployment,MarkDown5,CPI,Size,IsHoliday,Fuel_Price,MarkDown3,Type,MarkDown1,Date
,86.84,,5,1,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,2,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,3,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,4,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,5,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,6,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,7,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,8,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,9,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,10,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,11,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,12,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,13,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,14,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,16,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,17,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,20,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,21,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,22,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,23,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,24,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,25,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,26,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,27,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,28,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,29,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,30,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,31,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,32,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,33,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,34,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,35,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,36,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,38,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,40,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,41,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,42,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,44,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,45,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,46,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,52,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,54,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,55,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,56,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,58,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,59,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,60,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,67,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,71,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,72,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,74,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,79,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,81,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,82,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,85,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,87,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,90,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,91,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,92,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,95,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,96,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,86.84,,5,97,6.489,,215.560463,34875,False,3.637,,B,,2011-06-17
,84.76,,5,1,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,2,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,3,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,4,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,5,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,6,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
,84.76,,5,7,6.489,,215.6539583,34875,False,3.594,,B,,2011-06-24
