Dept,MarkDown1,MarkDown3,Fuel_Price,MarkDown2,CPI,Temperature,Unemployment,Date,MarkDown4,MarkDown5,IsHoliday,Type,Size,Store
38,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
40,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
41,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
42,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
44,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
46,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
49,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
50,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
51,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
52,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
54,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
55,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
56,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
58,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
59,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
60,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
67,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
71,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
72,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
74,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
79,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
80,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
81,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
82,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
83,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
85,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
87,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
90,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
91,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
92,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
93,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
94,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
95,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
97,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
98,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
99,,,4.066,,186.0719231,60.38,8.521,2011-05-13,,,False,A,200898,14
1,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
2,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
3,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
4,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
5,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
6,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
7,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
8,,,4.062,,185.9661154,62.28,8.521,2011-05-20,,,False,A,200898,14
