,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
11,11.0,1.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
12,11.0,2.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
14,11.0,4.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
17,11.0,7.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
18,11.0,8.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
19,11.0,9.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
20,11.0,10.0,,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
22,11.0,12.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
23,11.0,13.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
26,11.0,17.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
27,11.0,18.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
29,11.0,21.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
31,11.0,23.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
34,11.0,26.0,2010-06-04,79.66,2.705,,,,,,,7.343,False,A,207499.0
36,11.0,28.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
37,11.0,,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
38,11.0,30.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
39,11.0,31.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
40,11.0,32.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
42,11.0,34.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
43,11.0,35.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
44,11.0,36.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
45,11.0,37.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
46,11.0,38.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
47,11.0,40.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
48,11.0,41.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
49,11.0,42.0,2010-06-04,79.66,2.705,,,,,,214.4958382,7.343,False,A,207499.0
